Registered Provider Name,Outlet Name,Address,Phone,Email,Website,Open Hours,NDIS Category,X,Y
Leisure Networks Association Inc,Leisure Networks Wyndham,"191 Watton Street, Werribee, VIC 3030",03 5222 3911,assist@leisurenetworks.org,www.leisurenetworks.org,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,144.6568359,-37.9041184
Milife-Victoria Inc,Milife-Victoria Inc,"100a Aqueduct Road, Langwarrin, VIC 3910",03 9775 7333,donna.wilde@milife-victoria.org.au,www.milife-victoria.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.2022982,-38.1593008
Safa Care Pty Ltd,SAFACARE,"Unit 112, 22 Wallace Avenue, Point Cook, VIC 3030",0412 125 394,safacare01@gmail.com,www.safa-care.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,144.7462185,-37.8720646
St John Of God Accord,St John of God Accord - Community Campus,"130 Diamond Creek Road, St Helena, VIC 3088",1300 002 226,accord.ceo@sjog.org.au,www.accorddisability.org.au,Monday: 8AM-4PM,Daily Living & Family Support Services,145.1144837,-37.6895472
Coability Pty Ltd,CoAbility - Collingwood,"36-38 Gipps Street, Collingwood, VIC 3066",1800 262 245,hello@coability.com.au,www.coability.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,144.9882594,-37.80416
Nextt,Nextt,"30 Eastwood Street, Bakery Hill, VIC 3350",0413 404 801,lbeardmore@nextt.com.au,www.nextt.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,143.8638748,-37.5651508
Uniting (Victoria And Tasmania),Uniting Vic & Tas - Fire and Clay,"101 Beresford Road, Lilydale, VIC 3140",03 9192 8101,ndis@vt.uniting.org,https://www.unitingvictas.org.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.348419,-37.7505301
Annecto Incorporated,Annecto Incorporated,"2 Bacchus Street, Maddingley, VIC 3340",03 5366 3000,yourchoice@merrimu.org,www.annecto.org.au,"Monday: 8AM-4PM, Tuesday: 8AM-4PM, Wednesday: 8AM-4PM, Thursday: 8AM-4PM, Friday: 8AM-4PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,144.4246302,-37.681711
Site Disability Services,SITE Disability Services,"19 Moorefield Park Drive, West Wodonga, VIC 3690",02 6024 7988,info@siteds.org.au,www.siteds.org.au,"Monday: 9AM-4PM, Tuesday: 9AM-4PM, Wednesday: 9AM-4PM, Thursday: 9AM-4PM, Friday: 9AM-4PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,146.855103,-36.113182
Best Of Homecare,Best Of Homecare,"1 Rearden Close, Endeavour Hills, VIC 3802",03 8751 8460,admin@bestofhomecare.com.au,www.bestofhomecare.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,145.2473236,-37.9750863
Focus Individualised Support Services,RYMER,"83 Rymer Avenue, Safety Beach, VIC 3936",03 5981 5100,cashmanf@focuslife.com.au,www.focuslife.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.0018874,-38.3115514
Advantage Care Pty Ltd,Advantage Care,"Unit 2 55 Ivanhoe Avenue, St Albans, VIC 3021",0432 115 549,advantagecaredsp@gmail.com,https://advantage-care.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,144.8136185,-37.741414
Absolute Caring Professionals Pty Ltd,Absolute Caring,"80 Lakeside Drive, Roxburgh Park, VIC 3064",0476 509 988,absolutecaring12@gmail.com,www.absolutecaring.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9328531,-37.6300988
Wallara Australia Ltd.,Ebdale Hub,"Ebdale Hub/Frankston Toy Library, 20 Ebdale Street, Frankston, VIC 3199",03 9792 2985,intake@wallara.com.au,www.wallara.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,145.1267408,-38.1370254
Murray Human Services Inc T/As We Are Vi,Vivid Work Crew - Kerang,"14-16 Scoresby Street, Kerang, VIC 3579",03 5032 2170,maree.miliano@wearevivid.org.au,www.wearevivid.org.au,Monday: 9AM-5PM,Daily Living & Family Support Services,143.9213407,-35.7331523
Cobden Health,Lovely Banks Nursing Home,"5 Victoria Street, Cobden, VIC 3266",03 5595 3100,ceo@cobdenhealth.org.au,www.cobdenhealth.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,143.0760836,-38.3324437
360 Health Management Pty. Ltd.,360 Health Management,"10a Tallarook Street, Seymour, VIC 3660",03 5814 5118,enquiries@360healthmanagement.com.au,www.360healthmanagement.com.au,"Monday: 9AM-4PM, Tuesday: 9AM-4PM, Wednesday: 9AM-4PM, Thursday: 9AM-4PM, Friday: 9AM-4PM",Daily Living & Family Support Services,145.1339908,-37.0247872
The Bridge Connects,The Bridge Connects - The Hub,"31 Princes Highway, Dandenong, VIC 3175",1800 274 343,info@thebridgeinc.org.au,www.thebridgeinc.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 8AM-8PM, Sunday: 8AM-8PM",Daily Living & Family Support Services,145.2126314,-37.9838637
Memorable Care Pty Ltd,Memorable Care,"9 Lewis Avenue, Burnside, VIC 3023",0478 753 832,info@memorablecare.com.au,memorablecare.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.7520087,-37.7556964
Connecting2australia,Work Connections - Bellfield,"3 Wimpole Crescent, Bellfield, VIC 3081",1300 111 212,info@c2a.org.au,www.connecting2australia.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.0327908,-37.7542762
Additional Needs Education Pty Ltd,ANE Hub,"24 King Street, Blackburn, VIC 3130",0421 203 337,c.davies.ane@gmail.com,www.additionalneedseducation.com.au,"Monday: 8AM-6PM, Tuesday: 8AM-6PM, Wednesday: 8AM-6PM, Thursday: 8AM-6PM, Friday: 8AM-6PM, Saturday: 10AM-6PM, Sunday: 10AM-6PM",Daily Living & Family Support Services,145.1636298,-37.820636
Shepparton Retirement Villages Inc.,Shepparton Regional Restorative Care Pro,"9 Batman Avenue, Shepparton, VIC 3630",03 5832 0800,ceo@sheppvillages.com.au,www.sheppvillages.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.3897999,-36.3633063
The Bridge Connects,The Bridge Connects-Webb Street,"67-69 Webb Street, Narre Warren, VIC 3805",1800 274 343,info@thebridgeinc.org.au,www.thebridgeinc.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.3057989,-38.0229782
Great Ocean Stays - Destination Accessib,Bell 3,"4-6 Bell Street, Ocean Grove, VIC 3226",0403 515 605,book@greatoceanstays.com.au,www.destinationaccessible.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,144.5120725,-38.260822
The Bridge Connects,The Bridge Connects-Stawell Street,"3 Stawell Street, Cranbourne, VIC 3977",1800 274 343,info@thebridgeinc.org.au,www.thebridgeinc.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.2839228,-38.1077736
Australian Unity Care Services Pty Ltd,Campbell Place,"129 Coleman Parade, Glen Waverley, VIC 3150",03 9560 8244,ialcompliance@australianunity.com.au,https://www.australianunity.com.au/aged-care,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.1595236,-37.8791545
Hilda Care,Hilda Care,"67 Stony Brook Way, Truganina, VIC 3029",0426 076 057,info.ohcservices@gmail.com,www.hildacare.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,144.7118168,-37.8401701
Future Focus Group Pty Ltd,Future Focus Support Coordination Bendig,"118 King Street, Bendigo, VIC 3550",1300 202 303,info@futurefocussc.com.au,www.ffsc.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.2752509,-36.765742
Tlc Independent Living,TLC Independent Living,"1 Argyle Court, Berwick, VIC 3806",0418 177 951,clients@tlcindependentliving.com,www.tlcindependentliving.com,"Monday: 9AM-8PM, Tuesday: 9AM-8PM, Wednesday: 9AM-8PM, Thursday: 9AM-8PM, Friday: 9AM-8PM, Saturday: 9AM-8PM, Sunday: 9AM-8PM",Daily Living & Family Support Services,145.3251989,-38.0263187
Craigcare,Craigcare Berwick,"21 Parkhill Drive, Berwick, VIC 3806",03 9705 4600,fm-berwick@craigcare.com.au,https://craigcare.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.32677,-38.0276459
Beyond Boundaries Disability Services Pt,BEYOND BOUNDARIES DISABILITY SERVICES PT,"93 The Avenue, Coburg, VIC 3058",0422 992 707,beyondboundariesaj@gmail.com,www.beyondboundaries.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.969969,-37.7526017
Opendoor Ltd,Opendoor - Heidelberg,"104 Burgundy Street, Heidelberg, VIC 3084",1800 611 579,disability@opendoor.org.au,www.opendoor.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.0666947,-37.7561916
Extended Families Australia,Extended Families Australia,"Unit 15, 27 Bank Street, Box Hill, VIC 3128",03 9275 6953,intake@extendedfamilies.org.au,www.extendedfamilies.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.1266169,-37.8196123
Cornerstone Care Australia Pty. Limited,Cornerstone Care Australia,"Unit 5, 1445 South Gippsland Highway, Cranbourne, VIC 3977",03 5911 2544,info@cornerstonecareaustralia.com,www.cornerstonecareaustralia.com,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.2863114,-38.1156583
Caspa Care,South Port Community Residential Home,"Southport Nursing Home, 18 Richardson Street, Albert Park, VIC 3206",03 9633 9200,wsmith@caspacare.org.au,https://caspacare.org.au/,"Monday: 12PM-11PM, Tuesday: 12PM-11PM, Wednesday: 12PM-11PM, Thursday: 12PM-11PM, Friday: 12PM-11PM, Saturday: 12PM-11PM, Sunday: 12PM-11PM",Daily Living & Family Support Services,144.9483489,-37.8423156
Gellibrand Support Services,Gellibrand Support Services,"17 Hanmer Street, Williamstown, VIC 3016",03 9300 5400,services@gellibrand.org.au,www.gellibrand.org.au,"Monday: 7AM-10PM, Tuesday: 7AM-10PM, Wednesday: 7AM-10PM, Thursday: 7AM-10PM, Friday: 7AM-10PM, Saturday: 8AM-11PM, Sunday: 8AM-11PM",Daily Living & Family Support Services,144.9058416,-37.8672576
Gellibrand Support Services,Honey Grove,"16 Honey Grove, St Albans, VIC 3021",03 9300 5400,services@gellibrand.org.au,www.gellibrand.org.au,"Monday: 7AM-10PM, Tuesday: 7AM-10PM, Wednesday: 7AM-10PM, Thursday: 7AM-10PM, Friday: 7AM-10PM, Saturday: 8AM-11PM, Sunday: 8AM-11PM",Daily Living & Family Support Services,144.8169211,-37.7350752
Swan Hill District Health,Swan Hill District Health,"Swan Hill Dist Hospital, 48 Splatt Street, Swan Hill, VIC 3585",0436 475 840,ndis@shdh.org.au,www.shdh.org.au,"Monday: 8AM-4PM, Tuesday: 8AM-4PM, Wednesday: 8AM-4PM, Thursday: 8AM-4PM, Friday: 8AM-4PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,143.5562929,-35.340575
Araluen Centre,Araluen Centre,"226 Old Eltham Road, Lower Plenty, VIC 3093",03 9439 2805,helenr@araluen.org,araluen.org.au,"Monday: 9AM-3PM, Tuesday: 9AM-3PM, Wednesday: 9AM-3PM, Thursday: 9AM-3PM, Friday: 9AM-3PM, Saturday: 10AM-4PM",Daily Living & Family Support Services,145.1313184,-37.7346728
Life Health Services Pty Ltd,Life Health Services,"27 Watsons Road, Glen Waverley, VIC 3150",0413 664 800,info@lifehealthservices.com.au,www.lifehealthservices.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.1695594,-37.8921705
Baptcare Ltd,Baptcare Peninsula View Community,"24-28 Moorooduc Highway, Frankston South, VIC 3199",03 5971 3866,bquigley@baptcare.org.au,www.baptcare.org.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.1392694,-38.1854944
Estia Investments Pty. Ltd.,Estia Health Ringwood,"211 Wantirna Road, Ringwood, VIC 3134",1300 682 833,admissions@estiahealth.com.au,https://www.estiahealth.com.au/,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.2278776,-37.8375469
Annecto Incorporated,Annecto Incorporated,"Unit 280 Forest Hill Chase Shopping Cen, 270 Canterbury Road, Forest Hill, VIC 3131",03 9876 0122,eastern.allocations@annecto.org.au,www.annecto.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.1644833,-37.8355107
Tch Care,Tch Care,"4 Marblelight Way, Clyde North, VIC 3978",0468 808 070,adam@tchcare.com.au,tchcare.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 5AM-5PM, Sunday: 5AM-5PM",Daily Living & Family Support Services,145.3467459,-38.0805563
Goulburn Valley Family Care Inc,FamilyCare - IntoRec,"94 Wyndham Street, Shepparton, VIC 3630",03 5823 7047,intorec@familycare.net.au,www.familycare.net.au,"Monday: 7AM-9PM, Tuesday: 7AM-9PM, Wednesday: 7AM-9PM, Thursday: 7AM-9PM, Friday: 7AM-9PM, Saturday: 7AM-9PM, Sunday: 7AM-9PM",Daily Living & Family Support Services,145.4000995,-36.3750442
Merakis Enterprises Pty Ltd,Frankston Nursing Home,"8-12 Nolan Street, Frankston, VIC 3199",0422 232 099,george@meracare.com.au,meracare.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.117605,-38.149457
The Bridge Connects,The Bridge Connects-Clyde Rd,"49 Wallace Street, Beaconsfield, VIC 3807",1800 274 343,info@thebridgeinc.org.au,www.thebridgeinc.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.3692313,-38.0465194
Rubies Community Care,Tarneit Special House,"30 Pomelo Street, Tarneit, VIC 3029",0415 950 572,manager@rubiesnursingcare.com.au,www.rubiesnursingcare.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,144.6800097,-37.8164958
Estia Investments Pty. Ltd.,Estia Health Coolaroo,"15 Mladen Court, Coolaroo, VIC 3048",03 9309 0011,coolaroo@estiahealth.com.au,https://www.estiahealth.com.au/,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,144.931461,-37.6572234
Smarter Connections P/ L Atf The Walker,Smarter Connections,"7 Balboa Lane, Campbellfield, VIC 3061",03 8256 3800,info@smarterconnections.com.au,www.smarterconnections.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,144.9597978,-37.684617
Moran Roxburgh Park,Moran Roxburgh Park,"Moran Roxburgh Park, 3 Wedgewood Road, Roxburgh Park, VIC 3064",03 9303 6333,roxburghpark@morangroup.com.au,www.moranhealthcare.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,144.935929,-37.6198172
Basscare,Faversham House,"Faversham House, 27 Shierlaw Avenue, Canterbury, VIC 3126",03 8809 4917,j.cotter@basscare.org.au,www.basscare.org.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.085026,-37.822454
Core Aspire Services,Core Aspire Services,"16 Majestic Drive, Officer, VIC 3809",0468 895 660,coreaspireservices@gmail.com,https://coreaspire.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 8AM-4PM, Sunday: 8AM-1PM",Daily Living & Family Support Services,145.4361955,-38.0604229
Infinite Ability,Infinite Ability - Lyndhrust,"88 Sustain Circuit, Lyndhurst, VIC 3975",03 9088 1422,info@infiniteability.com.au,www.infiniteability.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.2517746,-38.0666597
Leap In!,Leap in! Box Hill,"Box Hill, Box Hill, VIC 3128",1300 057 878,crew@leapin.com.au,www.leapin.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.1220309,-37.8191204
Ascent Care Services Pty Ltd,Ascent Care Services,"31 Deco Place, Epping, VIC 3076",0450 203 935,mustafa@ascentcareservice.com,https://www.ascentcareservice.com,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.0226841,-37.6310762
Uniting (Victoria And Tasmania),Uniting Vic & Tas - SLES Broadmeadows,"1100 Pascoe Vale Road, Broadmeadows, VIC 3047",1300 090 989,employmentservices@unitingvictas.org.au,https://www.unitingvictas.org.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9190275,-37.6833982
Leap In!,Leap in! Hawthorn,"Hawthorn, Hawthorn, VIC 3122",1300 057 878,crew@leapin.com.au,www.leapin.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.0321669,-37.8321491
I Care Nursing,I CARE NURSING,"10 Wilmot Road, Traralgon East, VIC 3844",0455 912 075,team@icarenursing.com.au,icarenursing.com.au,"Monday: 12AM-12PM, Tuesday: 12AM-12PM, Wednesday: 12AM-12PM, Thursday: 12AM-12PM, Friday: 12AM-12PM, Saturday: 12AM-12PM, Sunday: 12AM-12PM",Daily Living & Family Support Services,146.5917358,-38.1848593
Exaudy Care Pty Ltd,Exaudy Care SIL STA,"34 Pyrenees Road, Clyde, VIC 3978",0480 226 622,grady@exaudycare.com.au,www.exaudycare.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.3208908,-38.121086
Baptcare Ltd,Baptcare - Karana Community,"Baptcare Karana Community, 55 Walpole Street, Kew, VIC 3101",03 9854 9200,bmwandabwa@baptcare.org.au,www.baptcare.org.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.0317077,-37.8015632
Araluen Centre,Chancez cafe Possum Hollow,"2 Beverley Road, Heidelberg, VIC 3084",03 9439 2805,helenr@araluen.org,araluen.org.au,"Monday: 9AM-3PM, Tuesday: 9AM-3PM, Wednesday: 9AM-3PM, Thursday: 9AM-3PM",Daily Living & Family Support Services,145.0771046,-37.751953
Goulburn Valley Health,Parkvilla Aged Care Facility,"Park Street, Tatura, VIC 3616",03 5832 2322,patricia.collier@gvhealth.org.au,www.gvhealth.org.au/,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.2260125,-36.4366502
Connecting2australia,Work Connections - Mlidura,"822 Fifteenth Street, Mildura, VIC 3500",1300 111 212,info@c2a.org.au,www.connecting2australia.org.au,"Monday: 8AM-3PM, Tuesday: 8AM-3PM, Wednesday: 8AM-3PM, Thursday: 8AM-3PM, Friday: 8AM-3PM",Daily Living & Family Support Services,142.1420395,-34.2123263
Wintringham,Wintringham-Port Melbourne Hostel,"79 Swallow Street, Port Melbourne, VIC 3207",03 9376 1122,adviceandinfo@wintringham.org.au,www.wintringham.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9332682,-37.8377701
Gellibrand Support Services,Stonecrop,"60 Stonecrop Way, Wyndham Vale, VIC 3024",03 9300 5400,services@gellibrand.org.au,www.gellibrand.org.au,"Monday: 7AM-10PM, Tuesday: 7AM-10PM, Wednesday: 7AM-10PM, Thursday: 7AM-10PM, Friday: 7AM-10PM, Saturday: 8AM-11PM, Sunday: 8AM-11PM",Daily Living & Family Support Services,144.5887851,-37.8494715
Leap In!,Leap in! Malvern,"Malvern, Malvern, VIC 3144",1300 057 878,crew@leapin.com.au,www.leapin.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.0355574,-37.8535148
Renaiss Care,Renaiss Care Support-Coordination,"Office 2, 81 Riversdale Road, Hawthorn, VIC 3122",0430 096 595,summer.li@renaiss.com.au,www.renaiss.com.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM",Daily Living & Family Support Services,145.0334041,-37.8284885
Scribble Mental Health Pty Ltd,SCRIBBLE MENTAL HEALTH PTY LTD,"Unit 30 22-30 Wallace Avenue, Point Cook, VIC 3030",0452 049 827,scribblementalh@gmail.com,scribblemh.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.7453072,-37.8726026
Elevate Support Care Pty Limited,Mooroolbark,"145 Cambridge Road, Mooroolbark, VIC 3138",0449 873 127,abhinav@elevatesupportcare.com.au,elevatesupportcare.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.3240804,-37.7953605
Estia Investments Pty. Ltd.,Estia Health Oakleigh East,"23a Elizabeth Street, Oakleigh, VIC 3166",1300 682 833,admissions@estiahealth.com.au,https://www.estiahealth.com.au/,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.1094852,-37.8978282
Shepparton Retirement Villages Inc.,Rodney Park Residential Aged Care Servic,"30-50 Knight Street, Mooroopna, VIC 3629",03 5832 0800,helenm@sheppvillages.com.au,www.sheppvillages.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.3504766,-36.3875023
My Smart Care Pty Ltd,MY SMART CARE PTY LTD,"175 Murrumbeena Road, Murrumbeena, VIC 3163",0433 432 129,mysmartcare175@gmail.com,https://www.mysmartcarepro.com.au/,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.0649757,-37.8966562
